RRI,SBP,DBP,CO,SV,MAP
1.153,87.61860678,57.25496695,5.653252108,96.17396384,68.76574994
1.269,87.98053222,57.02638246,6.126653394,100.5701567,68.10144222
1.197,89.65681848,56.60731089,4.730178071,89.67792815,67.25748399
1.012,86.87570718,55.99775225,5.051211033,107.6434742,66.63010753
0.929,88.03767834,55.78821647,4.91637634,99.59695537,67.35938867
0.965,84.85654418,57.73118464,5.695302685,102.8258835,68.5846394
1.056,89.73301332,58.98839934,5.745938774,90.5329253,69.47563208
1.186,89.65681848,59.55986056,6.157621124,99.07731235,69.27412196
1.36,90.87593577,57.19782083,5.479534479,98.8637174,68.46357471
1.322,89.82825685,55.29295007,4.738412203,93.65798829,67.15394592
1.122,86.97095072,55.92155742,4.830574099,110.2070465,65.78720901
1.086,88.03767834,54.6071966,4.553679457,101.2079697,66.53969682
1.058,84.55176486,56.1120445,5.485127371,106.7482745,66.91818337
0.886,88.28531154,56.34062899,5.07052285,92.12693785,67.09535221
0.976,83.94220622,56.58826219,5.529985064,99.2831086,68.31794584
1.055,87.71385032,60.34085757,5.983949086,92.57463132,69.67983364
0.962,90.64735128,59.42651961,5.648870975,89.56041706,69.52525376
1.385,91.90456598,58.77886355,5.901879796,101.7402758,70.77504714
1.289,88.62818828,55.12151171,6.079347643,99.08021318,67.38253021
1.342,89.12345467,56.03584967,4.435455518,101.9686407,67.07829635
0.957,88.53294474,57.23591824,5.157190449,111.2025149,65.29573791
1.091,85.08512867,53.65476122,4.755128368,106.2320441,66.30526412
1.082,85.37085929,57.67403852,5.991470614,100.9694063,66.32796325
1.05,86.74236623,55.90250871,5.035465785,89.42688757,66.60617388
1.288,85.19942092,56.77874926,5.427195809,98.76907801,67.33566913
0.998,88.70438311,56.93113892,5.231470812,90.67126253,65.92800955
1.37,87.77099644,54.39766082,4.978967523,101.5721788,66.82501389
0.91,86.6661714,56.75970055,5.854842483,97.19666003,64.37918091
0.967,83.84696268,52.68327714,4.86082721,100.4529547,65.99111295
0.925,86.18995371,57.97881784,5.948987971,100.6812935,67.11544464
0.927,86.60902528,57.121626,5.989196725,94.44717413,67.60190748
1.057,84.98988514,58.96935063,6.077649166,96.42190893,68.73734426
0.934,89.56157495,58.96935063,5.638722863,86.17868319,68.69697576
0.822,88.83772406,57.97881784,5.730971544,96.96100543,68.6795097
0.832,82.74213765,58.85505838,6.06473361,102.7074999,69.7811103
0.865,89.90445168,62.60765377,5.981687237,88.74488961,72.34395045
0.823,95.65716136,62.36002057,6.193171683,83.37895099,74.17895296
0.819,97.35249633,64.15059908,7.211408263,100.7136275,75.84053596
1.381,99.0478313,65.90308018,7.884908324,110.2402797,77.00860912
0.915,94.93331047,61.55997486,7.802779377,107.2148406,71.09703064
1.049,94.03802122,57.19782083,5.401801892,104.6704428,72.02193391
1.302,94.43804408,58.87410709,6.889252249,111.687223,71.11466125
1.322,93.00939101,55.33104749,5.703096051,101.3278795,67.92055248
1.106,88.81867535,55.02626817,4.830877124,105.6936493,65.33222972
0.994,87.88528868,53.57856639,4.650654068,101.6372513,65.96076311
1.119,84.95178772,55.31199878,5.566381483,107.3770393,66.45888222
1.175,87.69480161,55.82631388,5.596379224,93.44306433,66.16123814
1.036,87.46621712,55.23580395,5.46106864,101.1950666,65.71499304
1.373,88.83772406,54.74053755,5.286651335,102.3393881,66.64471826
0.885,86.64712269,57.10257729,5.579367576,95.1776586,64.55696869
1.387,86.6661714,52.41659523,5.117498789,103.8843111,66.88099384
1.064,84.91369031,54.58814789,7.053159,106.7047403,64.17599487
1.245,87.00904814,52.87376422,4.268142292,90.8552064,66.35719068
0.957,85.6565899,58.24549974,6.079151518,110.2035937,65.68288755
0.977,87.40907099,54.56909919,4.846712728,95.59553069,67.10768422
0.963,85.75183344,58.55027906,6.002962906,103.4835847,68.80302038
0.903,90.85688706,58.45503553,5.657787683,91.06947466,70.63875538
0.867,92.34268625,61.38853649,6.182917497,99.22535442,72.47777048
0.901,93.25702421,63.35055336,6.64294563,103.2785519,73.49281229
0.866,93.16178067,63.92201459,6.604472136,97.81086939,73.21342333
0.824,91.35215346,62.47431282,6.305000055,93.91005983,72.30681406
0.84,85.67563861,61.99809513,6.092300147,91.41378487,72.19051479
0.901,92.17124788,63.27435853,5.730440974,80.48145677,73.35548741
0.942,96.13337905,62.91243309,6.150724954,84.10886253,73.96254492
0.844,95.37143075,62.85528697,6.857288757,101.0684132,73.77758482
0.955,95.73335619,62.60765377,6.77544772,105.4088788,74.41857237
1.432,96.22862259,62.77909214,7.18378888,105.8517584,73.90186356
1.206,84.26603425,54.96912205,6.344930313,101.2136456,68.4302063
0.998,89.84730556,54.95007334,4.304777854,103.4357997,67.7798452
0.898,87.27573004,56.58826219,5.023098236,106.8457185,67.03223863
0.937,86.51378174,56.28348287,5.485864563,98.02313692,67.19803674
0.872,86.03756405,58.35979199,6.041330657,93.93634878,67.97761884
0.872,89.42823399,57.57879498,5.825369216,89.1947155,68.75750374
0.868,88.6853344,59.42651961,6.411818014,95.88965641,68.96184811
0.962,84.87559289,58.28359716,6.574423939,96.970737,68.99633681
1.406,91.61883536,58.22645104,5.941966185,87.09720695,69.19415312
0.88,83.46598853,56.95018763,5.729511476,90.92782825,65.38241577
0.866,83.50408595,52.26420557,5.040580947,102.7502244,66.89480959
1.41,89.6949159,58.87410709,6.123227374,100.3774235,68.79999041
0.933,82.78023506,56.09299579,6.601896871,93.93464976,64.85540009
0.946,86.45663562,52.43564394,4.969192834,100.2350389,66.86614768
0.945,87.4281197,58.95030192,6.18571004,108.4154766,68.44621505
0.909,88.97106501,58.30264587,6.161211704,97.29877918,68.40833622
1.188,86.05661276,58.05501267,6.095170656,97.66444213,69.0536422
1.019,89.65681848,58.95030192,6.008307353,90.10272414,67.66225131
1.411,89.88540298,56.07394708,5.346659346,99.65864549,68.49360416
0.962,83.02786826,57.73118464,6.502640366,111.9649375,66.86186981
0.873,90.66639998,55.00721946,4.927120151,104.8866446,68.43200744
0.841,88.47579862,59.12174029,5.812650186,107.6964365,69.65837124
0.895,88.53294474,60.26466274,6.498895961,100.5300103,70.25895537
1.432,92.79985523,61.52187744,6.269599178,89.52630026,71.53161817
1.005,82.60879669,57.54069756,6.05488992,89.68270215,67.43967438
0.872,89.02821114,54.75958626,4.541748847,96.00806125,68.02406724
0.994,81.98018934,58.09311008,5.252807816,101.8592637,68.98374443
1.453,91.42834829,58.24549974,5.454036739,82.34101966,69.08645324
1.393,87.14238909,53.02615388,5.675350746,98.46183498,65.77006359
1.178,82.17067642,53.06425129,4.405352428,107.9529657,64.0680542
1.228,86.43758691,52.53088748,4.612518192,107.9772529,65.21788199
0.941,84.28508296,55.23580395,5.532441982,109.9571791,63.75282274
1.08,84.53271616,52.98805646,4.795534538,97.49069259,65.3956433
1.094,84.11364459,57.40735661,6.188291821,101.302163,65.75407715
1.302,85.63754119,55.40724232,4.988047516,87.91179063,65.77796372
1.33,83.67552432,53.19759224,5.356048959,99.84301195,63.6887152
1.171,84.41842391,53.48332286,4.104212679,88.92343585,63.3921231
1.012,81.98018934,52.87376422,4.609061939,103.0854822,63.05776967
1.165,82.64689411,53.21664095,4.734283002,94.72951245,63.99276087
1.121,81.25633846,54.41670953,5.558768756,96.2513639,63.34150438
1.207,83.1421605,53.15949483,4.354615364,83.46566552,63.71306818
1.07,81.33253329,54.20717374,5.195128348,98.73999817,63.32548327
0.969,83.37074499,53.19759224,4.536768272,89.65228264,63.83027702
1.054,81.56111778,54.41670953,5.229738389,97.31435091,65.01291261
0.957,84.97083643,55.94060613,5.48257194,89.7007579,65.2741142
1.208,84.07554717,55.21675524,5.463326972,94.97381023,67.24981887
0.927,88.1710193,58.3788407,5.978608679,95.18403579,66.3553772
1.1,87.23763263,54.91197592,5.161779569,97.60888822,67.92620845
1.141,88.11387317,58.15025621,6.487149644,104.0358259,67.88526178
1.192,89.14250338,56.72160314,5.097280884,91.4414949,67.70567388
1.042,86.55187915,57.04543117,5.446159059,105.0574591,66.32987951
0.967,87.73289902,55.23580395,4.855220569,95.28883234,66.56020065
1.067,83.77076785,56.32158028,5.600617908,101.9013504,67.09458804
0.939,87.59955807,57.14067471,5.500272601,89.40551497,66.523775
1.119,84.68510582,55.50248586,5.543706119,96.70676707,67.30018992
0.917,87.29477875,58.30264587,6.03141769,95.86614652,66.39073568
0.964,85.69468732,55.15960912,5.384472872,95.43002011,67.14332543
1.01,86.28519725,59.140789,6.083070448,98.79091867,68.28448067
0.951,89.00916243,58.07406137,5.693516524,89.76999466,68.14323779
0.954,86.74236623,57.54069756,5.811392337,97.69914697,68.79612839
0.904,89.98064651,59.06459417,5.929087797,95.44603939,68.97579196
1.406,89.77111073,58.03596396,6.087253405,97.05862038,69.39922054
1.011,84.30413166,55.84536259,6.029220807,91.00598714,65.50305939
1.187,88.22816542,53.36903061,4.405602656,95.23027558,67.64601303
0.972,88.36150637,58.53123036,6.478355263,111.7855259,66.65742257
1.062,88.34245766,55.23580395,5.18637596,98.57556071,67.99874516
1.051,87.46621712,59.23603254,6.179789492,104.7328084,68.27591119
1.237,89.4472827,57.3692592,5.281525025,91.41096775,68.30307466
1.194,86.85665848,55.6167781,5.879443641,104.5223518,66.62644481
1.257,88.83772406,55.27390137,4.547639143,92.89318771,66.94996873
1.047,86.64712269,56.81684668,5.407101382,108.5326113,65.85475383
1.128,87.96148351,54.62624531,4.696978748,97.54938202,67.02102865
1.33,88.99011372,56.39777511,5.77925064,104.7360561,67.63971016
1.053,90.24732842,56.22633674,4.980704631,91.75528258,66.47229756
1.11,86.70426882,54.55005048,4.830994122,105.789708,66.99049413
0.96,89.04725984,56.34062899,5.635895639,101.0818831,66.91664468
0.909,86.9138046,55.71202164,5.63922967,103.6781021,67.4805468
1.452,90.83783835,58.51218165,5.826473561,97.1602979,68.5762164
0.936,79.69434444,56.32158028,5.579560319,82.0088196,65.50305939
0.922,88.4377012,52.8356668,4.724442192,99.11698872,67.34686863
1.37,90.30447454,58.74076614,6.342639963,109.1323029,69.07666921
1.023,88.76152923,56.24538545,5.903890542,88.99794774,65.99832153
